file,label,total_imports,imp_crypto,imp_random,imp_file_ops,imp_volume_enum,imp_network_spread,imp_file_unlock,imp_process_enum,imp_shadow_service,imp_anti_analysis,indicative_category_count,static_crypto_libs
Microsoft.Uev.CscUnpinTool.exe,benign,207,0,0,0,0,0,0,0,0,2,0,boost
Microsoft.Uev.SyncController.exe,benign,1,0,0,0,0,0,0,0,0,0,0,
MicrosoftEdgeBCHost.exe,benign,110,0,0,0,0,0,0,0,0,2,0,
MicrosoftEdgeCP.exe,benign,110,0,0,0,0,0,0,0,0,2,0,
MicrosoftEdgeDevTools.exe,benign,110,0,0,0,0,0,0,0,0,2,0,
MicrosoftEdgeSH.exe,benign,104,0,0,0,0,0,0,0,0,2,0,
MidiSrv.exe,benign,238,0,0,1,0,0,0,0,3,2,0,
MLEngineStub.exe,benign,106,0,0,1,0,0,0,0,0,2,0,
mmc.exe,benign,500,0,0,5,0,0,0,3,1,2,1,
mmgaserver.exe,benign,133,0,0,0,0,0,0,0,0,2,0,
mobsync.exe,benign,82,0,0,0,0,0,0,0,0,2,0,
MoNotificationUxStub.exe,benign,106,0,0,1,0,0,0,0,0,2,0,
mountvol.exe,benign,60,0,0,2,4,0,0,0,0,1,1,
mpnotify.exe,benign,72,0,0,0,0,0,0,0,0,1,0,
MpSigStub.exe,benign,184,0,0,8,0,0,0,5,3,2,1,
MptfGenericService.exe,benign,159,0,0,0,0,0,0,0,0,2,0,
MRINFO.EXE,benign,65,0,0,0,0,0,0,0,0,1,0,
MRT.exe,benign,281,0,0,8,1,0,0,5,3,2,2,boost;cryptopp;mbedtls;openssl
MSchedExe.exe,benign,27,0,0,0,0,0,0,0,0,1,0,
msconfig.exe,benign,239,0,0,1,0,0,0,2,3,2,1,
msdt.exe,benign,508,0,0,7,0,0,0,1,1,2,1,
msdtc.exe,benign,126,0,0,3,0,0,0,1,1,2,1,
msfeedssync.exe,benign,39,0,0,0,0,0,0,0,0,1,0,
msg.exe,benign,90,0,0,3,0,0,0,0,0,1,0,
mshta.exe,benign,38,0,0,0,0,0,0,0,0,1,0,
msiexec.exe,benign,127,0,0,1,0,0,0,2,0,1,1,
msinfo32.exe,benign,286,0,0,4,0,0,0,0,1,2,0,
msra.exe,benign,420,10,1,5,0,0,0,1,3,2,2,
MsSpellCheckingHost.exe,benign,128,0,0,0,0,0,0,1,0,1,1,
mstsc.exe,benign,397,0,0,5,0,0,0,0,1,2,0,
mtstocom.exe,benign,175,0,0,6,0,0,0,1,1,2,1,
MuiUnattend.exe,benign,127,0,0,2,0,0,0,2,0,2,1,
MultiDigiMon.exe,benign,109,0,0,0,0,0,0,0,0,1,0,
Narrator.exe,benign,753,0,0,1,0,0,0,1,1,2,1,
nbtstat.exe,benign,70,0,0,0,0,0,0,0,0,1,0,
ndadmin.exe,benign,68,0,0,0,0,0,0,0,0,1,0,
NDKPerfCmd.exe,benign,72,0,0,1,0,0,0,0,3,2,0,
NDKPing.exe,benign,71,0,0,1,0,0,0,0,3,2,0,
net.exe,benign,132,0,0,1,1,4,0,1,0,1,3,
net1.exe,benign,213,2,2,1,1,0,0,1,2,1,3,
netbtugc.exe,benign,75,0,0,0,0,0,0,0,0,1,0,
netcfg.exe,benign,121,0,0,0,0,0,0,0,0,2,0,
NetCfgNotifyObjectHost.exe,benign,107,0,0,0,0,0,0,0,0,2,0,
NetEvtFwdr.exe,benign,104,0,0,0,0,0,0,0,0,1,0,
NetHost.exe,benign,23,0,0,0,0,0,0,0,0,1,0,
netiougc.exe,benign,101,0,0,0,0,0,0,0,1,2,0,
Netplwiz.exe,benign,73,0,0,0,0,0,0,0,0,2,0,
netsh.exe,benign,114,0,0,2,0,0,0,0,0,1,0,
NETSTAT.EXE,benign,115,0,0,0,0,0,0,2,0,1,1,
newdev.exe,benign,76,0,0,0,0,0,0,0,0,1,0,
NgcIso.exe,benign,151,0,0,0,0,0,0,1,0,2,1,
nltest.exe,benign,170,3,1,3,0,0,0,0,0,1,1,
notepad.exe,benign,310,0,0,4,0,0,0,1,1,2,1,
nslookup.exe,benign,111,0,0,0,0,0,0,0,0,1,0,
ntoskrnl.exe,benign,211,1,0,0,0,0,0,0,0,0,1,boost
ntprint.exe,benign,54,0,0,0,0,0,0,0,0,2,0,
odbcad32.exe,benign,59,0,0,0,0,0,0,0,0,1,0,
odbcconf.exe,benign,64,0,0,0,0,0,0,0,0,1,0,
ofdeploy.exe,benign,113,0,0,2,0,0,0,0,0,2,0,
omadmclient.exe,benign,332,5,1,4,0,0,0,0,1,2,1,
omadmprc.exe,benign,157,0,0,0,0,0,0,0,0,2,0,
OneDriveSetup.exe,benign,601,9,2,11,3,0,4,5,4,2,4,openssl
OOBEFodSetup.exe,benign,63,0,0,0,0,0,0,0,0,2,0,
OobeShellHost.exe,benign,101,0,0,0,0,0,0,0,0,2,0,
openfiles.exe,benign,146,0,0,1,1,1,0,2,0,1,3,
OpenWith.exe,benign,137,0,0,0,0,0,0,0,0,2,0,
OptionalFeatures.exe,benign,83,0,0,0,0,0,0,0,0,2,0,
osk.exe,benign,401,0,0,1,0,0,0,1,1,2,1,
pacjsworker.exe,benign,42,0,0,0,0,0,0,0,0,2,0,
PackagedCWALauncher.exe,benign,76,0,0,0,0,0,0,0,0,2,0,
PackageInspector.exe,benign,109,0,0,4,0,0,0,0,1,1,0,
pairtool.exe,benign,149,0,0,0,0,0,0,1,0,2,1,
PasswordOnWakeSettingFlyout.exe,benign,117,0,0,0,0,0,0,0,0,2,0,
PATHPING.EXE,benign,67,0,0,0,0,0,0,0,0,1,0,
pcalua.exe,benign,161,0,0,2,0,0,0,0,0,2,0,
pcaui.exe,benign,256,2,0,2,0,0,0,1,0,2,2,
pcwrun.exe,benign,63,0,0,3,0,0,0,0,0,1,0,
perfmon.exe,benign,180,0,0,4,0,0,0,1,0,1,1,
phoneactivate.exe,benign,185,0,0,0,0,0,0,0,0,2,0,
PickerHost.exe,benign,136,0,0,0,0,0,0,0,0,2,0,
PinEnrollmentBroker.exe,benign,156,0,0,0,0,0,0,1,0,2,1,
PING.EXE,benign,70,0,0,0,0,0,0,0,0,1,0,
PkgMgr.exe,benign,176,0,0,5,0,0,0,2,1,2,1,
PktMon.exe,benign,413,0,0,8,3,0,0,0,4,2,1,
