task_id,n_shots,cells_changed,cells_usable,cell_change_fraction,pixel_change_fraction,visual_change,peak_shot,verdict,destroyed_decoy_files,agreement,first_shot,last_shot
466,43,11,66,0.1667,0.058,yes,0016.jpg,NO_VICTIM_ACTIVITY,0,REVIEW: screen changed but verdict says no encryption,/opt/CAPEv2/storage/analyses/466/shots/0001.jpg,/opt/CAPEv2/storage/analyses/466/shots/0043.jpg
467,58,64,66,0.9697,0.7461,yes,0016.jpg,TRUE_ENCRYPTION,61,agree,/opt/CAPEv2/storage/analyses/467/shots/0001.jpg,/opt/CAPEv2/storage/analyses/467/shots/0058.jpg
468,41,10,66,0.1515,0.0697,yes,0002.jpg,FAILED,0,REVIEW: screen changed but verdict says no encryption,/opt/CAPEv2/storage/analyses/468/shots/0001.jpg,/opt/CAPEv2/storage/analyses/468/shots/0041.jpg
469,8,54,66,0.8182,0.6634,yes,0005.jpg,FAILED,0,REVIEW: screen changed but verdict says no encryption,/opt/CAPEv2/storage/analyses/469/shots/0001.jpg,/opt/CAPEv2/storage/analyses/469/shots/0008.jpg
470,1,,,,,unknown,,FAILED,0,,/opt/CAPEv2/storage/analyses/470/shots/0001.jpg,
471,36,37,66,0.5606,0.1537,yes,0012.jpg,TRUE_ENCRYPTION,126,agree,/opt/CAPEv2/storage/analyses/471/shots/0001.jpg,/opt/CAPEv2/storage/analyses/471/shots/0036.jpg
472,40,46,66,0.697,0.2044,yes,0037.jpg,TRUE_ENCRYPTION,202,agree,/opt/CAPEv2/storage/analyses/472/shots/0001.jpg,/opt/CAPEv2/storage/analyses/472/shots/0040.jpg
473,5,7,66,0.1061,0.0431,yes,0003.jpg,FAILED,0,REVIEW: screen changed but verdict says no encryption,/opt/CAPEv2/storage/analyses/473/shots/0001.jpg,/opt/CAPEv2/storage/analyses/473/shots/0005.jpg
474,34,44,66,0.6667,0.1823,yes,0015.jpg,TRUE_ENCRYPTION,243,agree,/opt/CAPEv2/storage/analyses/474/shots/0001.jpg,/opt/CAPEv2/storage/analyses/474/shots/0034.jpg
475,3,0,66,0.0,0.0,no,0002.jpg,FAILED,0,agree,/opt/CAPEv2/storage/analyses/475/shots/0001.jpg,/opt/CAPEv2/storage/analyses/475/shots/0003.jpg
476,3,0,66,0.0,0.0011,no,0002.jpg,FAILED,0,agree,/opt/CAPEv2/storage/analyses/476/shots/0001.jpg,/opt/CAPEv2/storage/analyses/476/shots/0003.jpg
477,4,8,66,0.1212,0.0574,yes,0002.jpg,FAILED,0,REVIEW: screen changed but verdict says no encryption,/opt/CAPEv2/storage/analyses/477/shots/0001.jpg,/opt/CAPEv2/storage/analyses/477/shots/0004.jpg
478,48,41,66,0.6212,0.1578,yes,0023.jpg,TRUE_ENCRYPTION,116,agree,/opt/CAPEv2/storage/analyses/478/shots/0001.jpg,/opt/CAPEv2/storage/analyses/478/shots/0048.jpg
479,1,,,,,unknown,,FAILED,0,,/opt/CAPEv2/storage/analyses/479/shots/0001.jpg,
480,46,44,66,0.6667,0.1961,yes,0017.jpg,TRUE_ENCRYPTION,158,agree,/opt/CAPEv2/storage/analyses/480/shots/0001.jpg,/opt/CAPEv2/storage/analyses/480/shots/0046.jpg
481,2,2,66,0.0303,0.012,no,0002.jpg,FAILED,0,agree,/opt/CAPEv2/storage/analyses/481/shots/0001.jpg,/opt/CAPEv2/storage/analyses/481/shots/0002.jpg
482,39,44,66,0.6667,0.1876,yes,0032.jpg,TRUE_ENCRYPTION,203,agree,/opt/CAPEv2/storage/analyses/482/shots/0001.jpg,/opt/CAPEv2/storage/analyses/482/shots/0039.jpg
483,6,6,66,0.0909,0.0438,no,0002.jpg,FAILED,0,agree,/opt/CAPEv2/storage/analyses/483/shots/0001.jpg,/opt/CAPEv2/storage/analyses/483/shots/0006.jpg
484,44,48,66,0.7273,0.199,yes,0040.jpg,TRUE_ENCRYPTION,194,agree,/opt/CAPEv2/storage/analyses/484/shots/0001.jpg,/opt/CAPEv2/storage/analyses/484/shots/0044.jpg
485,5,12,66,0.1818,0.0717,yes,0004.jpg,FAILED,0,REVIEW: screen changed but verdict says no encryption,/opt/CAPEv2/storage/analyses/485/shots/0001.jpg,/opt/CAPEv2/storage/analyses/485/shots/0005.jpg
486,34,46,66,0.697,0.2018,yes,0020.jpg,TRUE_ENCRYPTION,249,agree,/opt/CAPEv2/storage/analyses/486/shots/0001.jpg,/opt/CAPEv2/storage/analyses/486/shots/0034.jpg
487,6,8,66,0.1212,0.0557,yes,0002.jpg,FAILED,0,REVIEW: screen changed but verdict says no encryption,/opt/CAPEv2/storage/analyses/487/shots/0001.jpg,/opt/CAPEv2/storage/analyses/487/shots/0006.jpg
488,54,46,66,0.697,0.2043,yes,0015.jpg,TRUE_ENCRYPTION,124,agree,/opt/CAPEv2/storage/analyses/488/shots/0001.jpg,/opt/CAPEv2/storage/analyses/488/shots/0054.jpg
489,3,8,66,0.1212,0.0576,yes,0002.jpg,FAILED,0,REVIEW: screen changed but verdict says no encryption,/opt/CAPEv2/storage/analyses/489/shots/0001.jpg,/opt/CAPEv2/storage/analyses/489/shots/0003.jpg
490,59,46,66,0.697,0.2042,yes,0019.jpg,TRUE_ENCRYPTION,165,agree,/opt/CAPEv2/storage/analyses/490/shots/0001.jpg,/opt/CAPEv2/storage/analyses/490/shots/0059.jpg
491,3,6,66,0.0909,0.0482,no,0002.jpg,FAILED,0,agree,/opt/CAPEv2/storage/analyses/491/shots/0001.jpg,/opt/CAPEv2/storage/analyses/491/shots/0003.jpg
